fecha,equipo,rival,entrenador,alineacion,goles_a_favor,goles_en_contra,resultado,puntos,puntos_acumulados,resultado_texto,estadio,ciudad,capacidad,altitud,disparos,disparos_al_arco,posesion,pases,pases_completados_en_porcentaje,faltas,tarjetas_amarillas,tarjetas_rojas,offsides,corners,jornada
2024-09-10,Uruguay,Venezuela,Marcelo Bielsa,4-3-3,0,0,0-0,1,15,Empate,Estadio Monumental de Maturín,Maturin,51796,220,8,2,56,376,75,17,4,0,5,5,08
2024-09-10,Paraguay,Brazil,Gustavo Alfaro,4-2-3-1,1,0,1-0,3,9,Victoria,Estadio Defensores del Chaco,Asunción,42354,141,7,2,29,221,70,13,4,0,0,4,08
2024-09-10,Brazil,Paraguay,Dorival Júnior,4-3-3,0,1,0-1,0,10,Derrota,Estadio Defensores del Chaco,Asunción,42354,141,9,3,71,552,87,8,2,0,0,6,08
2024-10-10,Bolivia,Colombia,Oscar Villegas,4-3-3,1,0,1-0,3,12,Victoria,Estadio Municipal de El Alto,El Alto,22000,13615,14,8,34,241,82,9,1,1,1,5,09
2024-10-10,Colombia,Bolivia,Nestor Lorenzo,4-2-3-1,0,1,0-1,0,16,Derrota,Estadio Municipal de El Alto,El Alto,22000,13615,20,9,66,454,92,8,1,0,1,9,09
2024-10-10,Ecuador,Paraguay,Sebastián Beccacece,3-4-3,0,0,0-0,1,12,Empate,Casa Blanca,Quito,41575,9350,14,5,77,624,89,6,1,0,3,4,09
2024-10-10,Paraguay,Ecuador,Gustavo Alfaro,3-4-3,0,0,0-0,1,10,Empate,Casa Blanca,Quito,41575,9350,3,2,23,189,58,10,1,0,1,3,09
2024-10-10,Venezuela,Argentina,Fernando Batista,4-3-3,1,1,1-1,1,11,Empate,Estadio Monumental de Maturín,Maturin,51796,220,16,6,40,243,56,20,1,0,6,8,09
2024-10-10,Argentina,Venezuela,Lionel Scaloni,4-4-2,1,1,1-1,1,19,Empate,Estadio Monumental de Maturín,Maturin,51796,220,8,4,60,382,71,13,1,0,0,4,09
2024-10-10,Chile,Brazil,Ricardo Gareca,4-2-3-1,1,2,1-2,0,5,Derrota,Estadio Nacional Julio Martínez Pradanos,Nunoa,48665,13123,7,1,28,233,68,14,2,0,2,4,09
2024-10-10,Brazil,Chile,Dorival Júnior,4-2-3-1,2,1,2-1,3,13,Victoria,Estadio Nacional Julio Martínez Pradanos,Nunoa,48665,13123,14,4,72,596,90,12,2,0,2,7,09
2024-10-11,Peru,Uruguay,Jorge Fossati,3-5-2,1,0,1-0,3,6,Victoria,Estadio Nacional de Lima,Lima,50086,505,13,3,37,316,71,17,0,0,1,5,09
